employee_id,name,age,salary,join_date,department,gender,country,city,weight_kg,is_active,review,price,weight_kg_duplicate,target
12369,Hasan D.,200,35149,2023-05-30,SALES,Man,America,Sylhet,118.4,0,Good value for money.,219.18,,0
7361,Grace P.,,77836,2017-02-27,Engineering,FEMALE,America,Chittagong,71kg,TRUE,Product met all expectations.,329.26,,0
3446,Eve D.,20,35404,2022-01-18,hr,male,BANGLADESH,Chitagong,98.7,FALSE,Very satisfied with the quality.,438.6,,0
18416,Diana E.,47,107375,2017-04-15,Marketing,Male,U.K.,Khulna,,FALSE,Delivery was fast and packaging great.,238.03,,0
13677,Ira W.,64,55962,2021-11-02,SALES,F,United Kingdom,Dhaka,83.5,FALSE,Would buy again without hesitation.,9.4,,0
458,Frank Y.,38,88527,2022-08-16,Mrketing,male,UK,Sylhet,95.8,TRUE,"Excellent product, highly recommend!",213.25,,0
16484,John Q.,25,109079,2020-09-10,hr,Woman,us,Chitagong,125.2,FALSE,Delivery was fast and packaging great.,19.35,,0
12951,Charlie K.,22,"$91,118",2010-01-12,Finace,F,U.K.,Rajshahi,87.9,FALSE,Delivery was fast and packaging great.,419,,0
13108,Diana V.,43,88859,21/07/2016,Marketing,Male,United States,Khulna,73.8,TRUE,good,430.17,,0
14925,Alice C.,0,46627,2012-01-12,Sales,FEMALE,us,Khulna,110.7,FALSE,Very satisfied with the quality.,429.27,,0
10417,Hasan D.,44,70027,2020-08-24,engineering,FEMALE,U.K.,Sylhet,115.9,0,Delivery was fast and packaging great.,$128.46,,0
13797,John G.,39,89568,2011-11-07,engineering,Female,BANGLADESH,Chittagong,112.7,TRUE,Would buy again without hesitation.,448.71,,1
2158,Grace M.,51,80277,2011-03-10,Finance,MALE,Bangladesh,Dhaka,64kg,,Good value for money.,285.54,,0
13334,Hasan L.,50,41141,2021-11-19,Finance,female,United Kingdom,Khulna,104.9,TRUE,Very satisfied with the quality.,302.48,,0
3800,Bob I.,19,119822,2012-03-08,Sales,female,usa,Chitagong,52kg,TRUE,Good value for money.,366.72,,0
3555,Charlie R.,60,32456,2015-02-06,engineering,female,U.S.A,Rajshahi,78.3,TRUE,Delivery was fast and packaging great.,393.84,,0
4901,Hasan M.,24,"$33,558",2017-03-06,Mrketing,Woman,us,Khulna,121.2,,na,73.45,,0
317,Charlie B.,46,93280,2020-08-20,engineering,F,usa,Sylhet,102.8,TRUE,Delivery was fast and packaging great.,67.27,,0
9057,Hasan S.,35,58839,2023-03-06,hr,Man,us,Khulna,123.6,TRUE,Product met all expectations.,159.79,,0
18372,Diana O.,42,40721,28/11/2016,HR,,U.S.A,Khulna,74.6,1,Product met all expectations.,-343,,0
